system,condition,language,n,NGB,NGB_lo,NGB_hi,GPS,GPS_lo,GPS_hi,GAR,GAR_lo,GAR_hi
deepl,clothing_only,kr,1600,-0.2575,-0.305,-0.21,-0.2575,-0.305,-0.21,1.0,1.0,1.0
deepl,clothing_only,en,1600,-0.0925,-0.14125,-0.04375,-0.0925,-0.14125,-0.04375,1.0,1.0,1.0
deepl,clothing_only,ja,1600,-0.093125,-0.136875,-0.04875,-0.113481,-0.166667,-0.05954,0.820625,0.801875,0.83875
deepl,clothing_only,zh,1600,-0.25625,-0.305,-0.20875,-0.25625,-0.305,-0.20875,1.0,1.0,1.0
deepl,clothing_color,kr,33600,0.048482,0.037589,0.059137,0.048486,0.03759,0.059142,0.999911,0.999792,1.0
deepl,clothing_color,en,33600,0.26994,0.259702,0.280238,0.26994,0.259702,0.280238,1.0,1.0,1.0
deepl,clothing_color,ja,33600,0.150863,0.141011,0.160625,0.174342,0.163046,0.185548,0.865327,0.861607,0.868988
deepl,clothing_color,zh,33600,0.047917,0.037143,0.058452,0.047917,0.037143,0.058452,1.0,1.0,1.0
google,clothing_only,kr,1600,-0.315,-0.36125,-0.26875,-0.315,-0.36125,-0.26875,1.0,1.0,1.0
google,clothing_only,en,1600,-0.31625,-0.36375,-0.27,-0.31625,-0.36375,-0.27,1.0,1.0,1.0
google,clothing_only,ja,1600,-0.3175,-0.3625,-0.27125,-0.3175,-0.3625,-0.27125,1.0,1.0,1.0
google,clothing_only,zh,1600,-0.31375,-0.36125,-0.2675,-0.31375,-0.36125,-0.2675,1.0,1.0,1.0
google,clothing_color,kr,33600,-0.12128,-0.132083,-0.110655,-0.121283,-0.132084,-0.110661,0.99997,0.999911,1.0
google,clothing_color,en,33600,-0.121994,-0.132798,-0.111428,-0.122056,-0.132861,-0.111475,0.999494,0.999226,0.999732
google,clothing_color,ja,33600,-0.12119,-0.131905,-0.110534,-0.12119,-0.131905,-0.110534,1.0,1.0,1.0
google,clothing_color,zh,33600,-0.122024,-0.133007,-0.111399,-0.12206,-0.133058,-0.111435,0.999702,0.999494,0.999881
