System,Lang,Condition,n,M (%),F (%),N (%),dF (%p),GPS,GAR,NGB,NGB 95% CI,UCA
DeepL,KR,Clothing Only,1600,"1,006 (62.9)",594 (37.1),0 (0.0),-,-0.258,1.000,-0.258,"[-0.305, -0.210]",0.6698
DeepL,KR,+ Color,33600,"15,984 (47.6)","17,613 (52.4)",3 (0.0),+15.3,+0.048,1.000,+0.048,"[+0.038, +0.059]",0.7614
DeepL,EN,Clothing Only,1600,874 (54.6),726 (45.4),0 (0.0),-,-0.092,1.000,-0.092,"[-0.141, -0.044]",0.5087
DeepL,EN,+ Color,33600,"12,265 (36.5)","21,335 (63.5)",0 (0.0),+18.1,+0.270,1.000,+0.270,"[+0.260, +0.280]",0.5257
DeepL,JA,Clothing Only,1600,731 (45.7),582 (36.4),287 (17.9),-,-0.113,0.821,-0.093,"[-0.137, -0.049]",0.3934
DeepL,JA,+ Color,33600,"12,003 (35.7)","17,072 (50.8)","4,525 (13.5)",+14.4,+0.174,0.865,+0.151,"[+0.141, +0.161]",0.4597
DeepL,ZH,Clothing Only,1600,"1,005 (62.8)",595 (37.2),0 (0.0),-,-0.256,1.000,-0.256,"[-0.305, -0.209]",0.2085
DeepL,ZH,+ Color,33600,"15,995 (47.6)","17,605 (52.4)",0 (0.0),+15.2,+0.048,1.000,+0.048,"[+0.037, +0.058]",0.3317
Google,KR,Clothing Only,1600,"1,052 (65.8)",548 (34.2),0 (0.0),-,-0.315,1.000,-0.315,"[-0.361, -0.269]",0.7402
Google,KR,+ Color,33600,"18,837 (56.1)","14,762 (43.9)",1 (0.0),+9.7,-0.121,1.000,-0.121,"[-0.132, -0.111]",0.7497
Google,EN,Clothing Only,1600,"1,053 (65.8)",547 (34.2),0 (0.0),-,-0.316,1.000,-0.316,"[-0.364, -0.270]",0.3818
Google,EN,+ Color,33600,"18,841 (56.1)","14,742 (43.9)",17 (0.1),+9.7,-0.122,0.999,-0.122,"[-0.133, -0.111]",0.4265
Google,JA,Clothing Only,1600,"1,054 (65.9)",546 (34.1),0 (0.0),-,-0.318,1.000,-0.318,"[-0.362, -0.271]",0.6967
Google,JA,+ Color,33600,"18,836 (56.1)","14,764 (43.9)",0 (0.0),+9.8,-0.121,1.000,-0.121,"[-0.132, -0.111]",0.7399
Google,ZH,Clothing Only,1600,"1,051 (65.7)",549 (34.3),0 (0.0),-,-0.314,1.000,-0.314,"[-0.361, -0.268]",0.6868
Google,ZH,+ Color,33600,"18,845 (56.1)","14,745 (43.9)",10 (0.0),+9.6,-0.122,1.000,-0.122,"[-0.133, -0.111]",0.7184
