Category,NGB Clothing Only,NGB + Color,NGB Shift,Average JSD
cardigan,-0.549,+0.572,+1.12*,0.1965
coat,-0.644,+0.197,+0.84*,0.1675
shorts,+0.122,+0.629,+0.51*,0.0702
pants,-0.739,-0.312,+0.43,0.0609
windbreaker,-0.547,-0.650,-0.10,0.0421
sweater,-0.338,-0.101,+0.24,0.0412
jacket,-0.897,-0.653,+0.24,0.0400
T-shirt,-0.751,-0.521,+0.23,0.0399
jeans,-0.539,-0.167,+0.37,0.0363
knitwear,+0.526,+0.435,-0.09,0.0310
shirt,-0.958,-0.830,+0.13,0.0308
hoodie,-0.604,-0.590,+0.01,0.0238
suit,-0.983,-0.941,+0.04,0.0106
dress,+0.980,+0.999,+0.02,0.0037
blouse,+0.995,+0.996,+0.00,0.0011
skirt,+1.000,+0.999,-0.00,0.0002
